city,district,pre_date,post_date,resolution,pre_tif,post_tif,pre_jpg,post_jpg
Adiyaman,Merkez_6,20220817,20230212,1920,Adiyaman/Merkez_6/detail_6_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_1920px_geo_pre.tif,Adiyaman/Merkez_6/detail_6_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_1920px_geo_post.tif,Adiyaman/Merkez_6/detail_6_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_1920px_logo_wm_pre.jpg,Adiyaman/Merkez_6/detail_6_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_1920px_logo_wm_post.jpg
Adiyaman,Merkez_3,20220817,20230212,3840,Adiyaman/Merkez_3/detail_3_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_3840px_geo_pre.tif,Adiyaman/Merkez_3/detail_3_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_3840px_geo_post.tif,Adiyaman/Merkez_3/detail_3_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_3840px_logo_wm_pre.jpg,Adiyaman/Merkez_3/detail_3_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_3840px_logo_wm_post.jpg
Adiyaman,Merkez_2,20220817,20230212,2880,Adiyaman/Merkez_2/detail_2_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_2880px_geo_pre.tif,Adiyaman/Merkez_2/detail_2_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_2880px_geo_post.tif,Adiyaman/Merkez_2/detail_2_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_2880px_logo_wm_pre.jpg,Adiyaman/Merkez_2/detail_2_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_2880px_logo_wm_post.jpg
Adiyaman,Merkez_1,20220817,20230212,3840,Adiyaman/Merkez_1/detail_1_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_3840px_geo_pre.tif,Adiyaman/Merkez_1/detail_1_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_3840px_geo_post.tif,Adiyaman/Merkez_1/detail_1_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_3840px_logo_wm_pre.jpg,Adiyaman/Merkez_1/detail_1_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_3840px_logo_wm_post.jpg
Adiyaman,Merkez_4,20220817,20230212,2880,Adiyaman/Merkez_4/detail_4_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_2880px_geo_pre.tif,Adiyaman/Merkez_4/detail_4_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_2880px_geo_post.tif,Adiyaman/Merkez_4/detail_4_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_2880px_logo_wm_pre.jpg,Adiyaman/Merkez_4/detail_4_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_2880px_logo_wm_post.jpg
Adiyaman,Merkez_5,20220817,20230212,1920,Adiyaman/Merkez_5/detail_5_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_1920px_geo_pre.tif,Adiyaman/Merkez_5/detail_5_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_1920px_geo_post.tif,Adiyaman/Merkez_5/detail_5_pre_earthquake_adiyaman_turkey_s3_20220817T080818Z_rgb_flat_50cm_1920px_logo_wm_pre.jpg,Adiyaman/Merkez_5/detail_5_earthquake_adiyaman_turkey_s110_20230212T112019Z_rgb_flat_50cm_1920px_logo_wm_post.jpg
Gaziantep,Merkez_2,20220620,20230208,1920,Gaziantep/Merkez_2/earthquake_gaziantep_turkey_s1_20220620T080425Z_rgb_1920px_logo_geo_pre.tif,Gaziantep/Merkez_2/earthquake_gaziantep_turkey_s111_20230208T112029Z_rgb_1920px_logo_geo_post.tif,Gaziantep/Merkez_2/earthquake_gaziantep_turkey_s1_20220620T080425Z_rgb_1920px_logo_wm_pre.jpg,Gaziantep/Merkez_2/earthquake_gaziantep_turkey_s111_20230208T112029Z_rgb_1920px_logo_wm_post.jpg
Gaziantep,Merkez_1,20220620,20230208,11520,Gaziantep/Merkez_1/earthquake_gaziantep_turkey_s1_20220620T080425Z_rgb_11520px_logo_geo_pre.tif,Gaziantep/Merkez_1/earthquake_gaziantep_turkey_s111_20230208T112029Z_rgb_11520px_logo_geo_post.tif,Gaziantep/Merkez_1/earthquake_gaziantep_turkey_s1_20220620T080425Z_rgb_11520px_logo_wm_pre.jpg,Gaziantep/Merkez_1/earthquake_gaziantep_turkey_s111_20230208T112029Z_rgb_11520px_logo_wm_post.jpg
Kahramanmaras,Turkoglu_2,20180708,20230209,3840,Kahramanmaras/Turkoglu_2/earthquake_turkoglu_turkey_s111_20180708T104958Z_rgb_3840px_portrait_logo_geo_pre.tif,Kahramanmaras/Turkoglu_2/earthquake_turkoglu_turkey_s116_20230209T071511Z_rgb_3840px_portrait_logo_geo_post.tif,Kahramanmaras/Turkoglu_2/earthquake_turkoglu_turkey_s111_20180708T104958Z_rgb_3840px_portrait_logo_wm_pre.jpg,Kahramanmaras/Turkoglu_2/earthquake_turkoglu_turkey_s116_20230209T071511Z_rgb_3840px_portrait_logo_wm_post.jpg
Kahramanmaras,Merkez_3,20210403,20230207,4320,Kahramanmaras/Merkez_3/earthquake_before_kahramanmaras_turkey_s114_20210403T075229Z_rgb_4320px_portrait_geo_pre.tif,Kahramanmaras/Merkez_3/earthquake_kahramanmaras_turkey_106_20230207T113204Z_rgb_4320px_portrait_geo_post.tif,Kahramanmaras/Merkez_3/earthquake_before_kahramanmaras_turkey_s114_20210403T075229Z_rgb_4320px_portrait_logo_wm_pre.jpg,Kahramanmaras/Merkez_3/earthquake_kahramanmaras_turkey_106_20230207T113204Z_rgb_4320px_portrait_logo_wm_post.jpg
Kahramanmaras,Merkez_2,20210403,20230209,2560,,,Kahramanmaras/Merkez_2/earthquake_kahramanmaras_turkey_s114_20210403T075229Z_rgb_2560px_logo_wm_pre.jpg,Kahramanmaras/Merkez_2/earthquake_kahramanmaras_turkey_s110_20230209T113226Z_rgb_2560px_logo_wm_post.jpg
Kahramanmaras,Turkoglu_1,20180708,20230209,1920,Kahramanmaras/Turkoglu_1/earthquake_turkoglu_turkey_s111_20180708T104958Z_rgb_1920px_logo_geo_pre.tif,Kahramanmaras/Turkoglu_1/earthquake_turkoglu_turkey_s116_20230209T071511Z_rgb_1920px_logo_geo_post.tif,Kahramanmaras/Turkoglu_1/earthquake_turkoglu_turkey_s111_20180708T104958Z_rgb_1920px_logo_wm_pre.jpg,Kahramanmaras/Turkoglu_1/earthquake_turkoglu_turkey_s116_20230209T071511Z_rgb_1920px_logo_wm_post.jpg
Kahramanmaras,Merkez_1,20210403,20230209,5120,Kahramanmaras/Merkez_1/earthquake_kahramanmaras_turkey_s114_20210403T075229Z_rgb_5120px_logo_geo_pre.tif,Kahramanmaras/Merkez_1/earthquake_kahramanmaras_turkey_s110_20230209T113226Z_rgb_5120px_logo_geo_post.tif,Kahramanmaras/Merkez_1/earthquake_kahramanmaras_turkey_s114_20210403T075229Z_rgb_5120px_logo_wm_pre.jpg,Kahramanmaras/Merkez_1/earthquake_kahramanmaras_turkey_s110_20230209T113226Z_rgb_5120px_logo_wm_post.jpg
Kahramanmaras,Merkez_4,20210403,20230207,1920,Kahramanmaras/Merkez_4/earthquake_before_hac覺_ramazan_nami_kahramanmaras_turkey_s114_20210403T075229Z_rgb_1920px_geo_pre.tif,Kahramanmaras/Merkez_4/earthquake_hac覺_ramazan_nami_kahramanmaras_turkey_106_20230207T113204Z_rgb_1920px_geo_post.tif,Kahramanmaras/Merkez_4/earthquake_before_hac覺_ramazan_nami_kahramanmaras_turkey_s114_20210403T075229Z_rgb_1920px_logo_wm_pre.jpg,Kahramanmaras/Merkez_4/earthquake_hac覺_ramazan_nami_kahramanmaras_turkey_106_20230207T113204Z_rgb_1920px_logo_wm_post.jpg
Hatay,Mimar_Sinan,20220807,20230212,2880,Hatay/Mimar_Sinan/mimar_sinan_antakya_hatay_turkey_20220807_ssc10_rgb_flat_50cm_2880px_geo_pre.tif,Hatay/Mimar_Sinan/mimar_sinan_antakya_hatay_turkey_20230212_ssc16_rgb_flat_50cm_2880px_geo_post.tif,Hatay/Mimar_Sinan/mimar_sinan_antakya_hatay_turkey_20220807_ssc10_rgb_flat_50cm_2880px_logo_wm_pre.jpg,Hatay/Mimar_Sinan/mimar_sinan_antakya_hatay_turkey_20230212_ssc16_rgb_flat_50cm_2880px_logo_wm_post.jpg
Hatay,Ekinci_Mahallesi,20221222,20230212,1280,Hatay/Ekinci_Mahallesi/ekinci_mahallesi_antakya_hatay_turkey_20221222_ssc17_rgb_flat_50cm_1280px_geo_pre.tif,Hatay/Ekinci_Mahallesi/ekinci_mahallesi_antakya_hatay_turkey_20230212_ssc19_rgb_flat_50cm_1280px_geo_post.tif,Hatay/Ekinci_Mahallesi/ekinci_mahallesi_antakya_hatay_turkey_20221222_ssc17_rgb_flat_50cm_1280px_logo_wm_pre.jpg,Hatay/Ekinci_Mahallesi/ekinci_mahallesi_antakya_hatay_turkey_20230212_ssc19_rgb_flat_50cm_1280px_logo_wm_post.jpg
